Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Sleep_Hours_per_Night_Entier,Country
S1024,Maria,Williams,student24@university.com,Female,20,CS,53.49312,5.521539872,56.32,60.24,A,15.06,No,Yes,High School,Low,4,5.7,6,Canada
S1025,Emma,Davis,student25@university.com,Male,18,Business,82.20864,7.360522023,84.46,90.24,C,22.56,Yes,Yes,High School,High,3,5.6,6,Australia
S1026,Emma,Johnson,student26@university.com,Male,18,Engineering,91.13205,9.005899705,88.5,91.59,A,22.8975,Yes,Yes,None,High,10,6.2,6,US
S1027,Sara,Johnson,student27@university.com,Male,18,Business,93.9708,9.701463415,89.65,99.44,D,24.86,Yes,Yes,,High,2,7.3,7,France
S1028,Liam,Davis,student28@university.com,Female,21,Business,70.1784,6.181506849,62.64,72.2,D,18.05,No,Yes,Bachelor's,Low,3,4,4,Australia
S1029,Maria,Jones,student29@university.com,Female,23,Mathematics,58.9358,5.897590361,58.99,68.53,A,17.1325,No,Yes,Master's,Low,3,6.7,7,Canada
S1030,Ahmed,Brown,student30@university.com,Female,22,CS,72.7605,8.020735156,77.09,85.1,F,21.275,Yes,Yes,High School,High,9,4.1,4,US
S1031,Ali,Johnson,student31@university.com,Male,22,Mathematics,45.18514,4.153061224,44.96,52.91,B,13.2275,No,No,Bachelor's,Low,3,6.3,6,Australia
S1032,Maria,Smith,student32@university.com,Female,21,CS,43.77558,4.641964286,45.41,51.99,D,12.9975,No,No,None,Low,9,4.4,4,Canada
S1033,Sara,Williams,student33@university.com,Male,19,CS,60.00825,5.178432894,58.22,66.75,D,16.6875,No,Yes,Master's,Low,4,6.8,7,Japan
S1034,Emma,Davis,student34@university.com,Female,21,Business,76.5348,8.037174721,81.77,86.48,F,21.62,Yes,Yes,Master's,High,1,5.6,6,France
S1035,Ahmed,Smith,student35@university.com,Female,23,CS,51.68932,5.47254902,53.03,55.82,A,13.955,No,Yes,,Low,8,6.4,6,Australia
S1036,Maria,Davis,student36@university.com,Female,18,CS,77.44566,6.912933221,80.69,81.78,F,20.445,Yes,Yes,Bachelor's,High,10,8.8,9,US
S1037,Ali,Williams,student37@university.com,Male,21,CS,51.48228,6.31641791,63.09,63.48,A,15.87,No,Yes,,Low,5,5.7,6,Canada
S1038,Ali,Williams,student38@university.com,Male,18,Engineering,77.70778,6.796707819,81.85,82.58,A,20.645,Yes,Yes,Master's,High,2,7.6,8,Australia
S1039,John,Johnson,student39@university.com,Female,23,Engineering,60.53835,5.913149351,64.05,72.85,A,18.2125,No,Yes,Bachelor's,Low,9,7.4,7,Australia
S1040,John,Johnson,student40@university.com,Male,24,Business,46.89416,4.947648625,45.89,55.76,C,13.94,No,Yes,PhD,Low,7,8.3,8,Japan
S1041,Omar,Smith,student41@university.com,Male,23,Business,50.88576,5.721100917,55.19,62.36,A,15.59,No,Yes,Bachelor's,Low,6,5.7,6,France
S1042,Sara,Davis,student42@university.com,Male,20,Engineering,55.25694,5.590284143,54.2,60.99,A,15.2475,No,Yes,Bachelor's,Low,2,4.3,4,US
S1043,Liam,Williams,student43@university.com,Male,18,CS,52.34877,5.08558952,51.76,58.23,A,14.5575,No,Yes,Bachelor's,Low,6,8.9,9,Canada
S1044,Maria,Smith,student44@university.com,Male,22,Mathematics,62.55384,6.62037872,63.83,73.42,D,18.355,No,Yes,Master's,Low,7,5.8,6,France
S1045,Maria,Brown,student45@university.com,Male,21,CS,91.76847,7.683176101,97.63,97.73,C,24.4325,Yes,Yes,,High,5,5,5,Australia
S1046,Liam,Smith,student46@university.com,Male,24,CS,75.7706,8.2160555,81.58,82.9,C,20.725,Yes,Yes,Master's,High,5,8.6,9,Canada
S1047,Omar,Jones,student47@university.com,Female,23,CS,84.456,7.786259542,82.87,91.8,A,22.95,Yes,Yes,Master's,High,4,5,5,US
S1048,Emma,Smith,student48@university.com,Male,18,Engineering,95.78135,9.505758157,89.92,99.05,B,24.7625,Yes,Yes,Master's,High,10,6.6,7,Canada
S1049,Emma,Jones,student49@university.com,Male,24,CS,62.00915,6.1624,74.95,77.03,B,19.2575,Yes,Yes,Master's,High,1,7.8,8,Canada
S1050,Omar,Jones,student50@university.com,Female,19,CS,53.9768,4.92442323,54.17,61.9,A,15.475,No,Yes,,Low,10,7.7,8,Australia
S1051,Emma,Jones,student51@university.com,Female,20,CS,89.54631,8.352686308,95.85,96.39,D,24.0975,Yes,Yes,PhD,High,7,4.1,4,Australia
S1052,John,Brown,student52@university.com,Female,19,CS,76.37005,7.162731872,83.01,84.95,B,21.2375,Yes,Yes,,High,3,5,5,US
S1053,Maria,Smith,student53@university.com,Female,23,Engineering,95.7951,8.539668701,91.97,97.95,C,24.4875,Yes,Yes,High School,High,5,8.4,8,France
S1054,Omar,Smith,student54@university.com,Male,19,Business,80.65135,7.914669223,77.84,82.55,B,20.6375,Yes,Yes,High School,High,8,6.8,7,France
S1055,Maria,Brown,student55@university.com,Female,19,Business,75.26848,6.972505892,83.12,88.76,A,22.19,Yes,Yes,,High,2,7.4,7,Japan
S1056,Liam,Williams,student56@university.com,Female,20,CS,80.63409,8.43264942,86.89,94.53,F,23.6325,Yes,Yes,Bachelor's,High,4,6,6,Canada
S1057,Ali,Johnson,student57@university.com,Male,20,CS,70.54392,7.281456954,82.1,87.96,A,21.99,Yes,Yes,None,High,9,7.7,8,Japan
S1058,John,Smith,student58@university.com,Male,20,Mathematics,70.70765,6.847502191,69.17,78.13,B,19.5325,Yes,Yes,,High,2,5.4,5,France
S1059,Ahmed,Johnson,student59@university.com,Male,24,CS,72.7904,5.873902634,69.82,73.6,F,18.4,No,Yes,Master's,Low,8,5.2,5,US
S1060,John,Davis,student60@university.com,Female,20,Business,76.49163,7.04015444,84.83,91.17,D,22.7925,Yes,Yes,None,High,9,9,9,Canada
S1061,Omar,Davis,student61@university.com,Male,19,CS,72.8292,6.90568979,79.59,88.6,B,22.15,Yes,Yes,,High,3,4.8,5,Japan
S1062,Ahmed,Brown,student62@university.com,Female,22,Mathematics,64.2208,5.844311377,60.03,68.32,A,17.08,No,Yes,PhD,Low,5,8.9,9,Japan
S1063,Ali,Davis,student63@university.com,Male,22,CS,67.87752,7.034741784,69.84,74.92,F,18.73,No,Yes,Bachelor's,Low,4,8.6,9,Canada
S1064,Omar,Davis,student64@university.com,Male,20,Engineering,75.0465,6.756198347,72.73,81.75,C,20.4375,Yes,Yes,Master's,High,10,7.6,8,Japan
S1065,Sara,Williams,student65@university.com,Female,24,Business,46.89504,4.915869981,49.48,51.42,F,12.855,No,No,Master's,Low,10,6.9,7,US
S1066,Maria,Williams,student66@university.com,Male,21,Engineering,56.64104,5.198333333,54.75,62.38,A,15.595,No,Yes,Bachelor's,Low,8,4,4,Australia
S1067,Ali,Williams,student67@university.com,Male,18,CS,51.19569,5.708675799,57.53,62.51,D,15.6275,No,Yes,PhD,Low,8,7.2,7,Australia
S1068,Maria,Davis,student68@university.com,Male,23,Engineering,90.95856,7.32192846,94.16,94.16,A,23.54,Yes,Yes,PhD,High,5,7.9,8,Japan
S1069,Emma,Brown,student69@university.com,Male,24,Business,65.83773,5.552126772,66.51,66.57,A,16.6425,No,Yes,None,Low,5,7.7,8,US
S1070,Sara,Jones,student70@university.com,Male,21,CS,67.9888,6.306938776,75.55,77.26,B,19.315,Yes,Yes,High School,High,1,4.9,5,France
S1071,Sara,Jones,student71@university.com,Female,23,CS,87.82522,7.137957911,81.95,91.58,C,22.895,Yes,Yes,High School,High,5,6.7,7,Japan
S1072,Ali,Johnson,student72@university.com,Female,21,Engineering,54.91856,5.196369637,55.26,62.98,B,15.745,No,Yes,PhD,Low,1,6.8,7,Japan
S1073,Sara,Jones,student73@university.com,Male,21,CS,45.12057,4.92462752,51.33,56.19,A,14.0475,No,Yes,Bachelor's,Low,4,7.3,7,Japan
S1074,Ahmed,Jones,student74@university.com,Female,22,Engineering,85.92444,8.333618477,89.24,97.42,A,24.355,Yes,Yes,,High,7,8.2,8,US
S1075,Sara,Williams,student75@university.com,Female,18,CS,74.06487,6.986065574,82.58,85.23,F,21.3075,Yes,Yes,High School,High,2,7.5,8,Australia
S1076,Maria,Williams,student76@university.com,Female,21,Engineering,53.96545,5.249776985,50.03,58.85,A,14.7125,No,Yes,,Low,1,4.7,5,US
S1077,Maria,Davis,student77@university.com,Male,20,CS,86.62248,7.086448598,90.94,90.99,D,22.7475,Yes,Yes,Bachelor's,High,2,4.1,4,France
S1078,Omar,Johnson,student78@university.com,Male,23,Engineering,74.88368,8.374882849,84.24,89.36,A,22.34,Yes,Yes,Master's,High,7,4.7,5,Japan
S1079,Maria,Smith,student79@university.com,Male,24,CS,79.29244,7.362179487,83,91.88,A,22.97,Yes,Yes,Bachelor's,High,3,4.2,4,Canada
S1080,Omar,Johnson,student80@university.com,Female,22,CS,60.36426,5.251851852,55,63.81,A,15.9525,No,Yes,,Low,5,6.2,6,France
S1081,Maria,Johnson,student81@university.com,Female,23,CS,59.89961,5.685243328,65.52,72.43,D,18.1075,No,Yes,Master's,Low,1,5.4,5,Japan
S1082,Ahmed,Brown,student82@university.com,Male,20,Mathematics,81.37748,7.928838951,83.81,84.68,A,21.17,Yes,Yes,,High,10,4,4,US
S1083,Liam,Davis,student83@university.com,Male,20,CS,64.94102,6.449907236,61.85,69.53,D,17.3825,No,Yes,Master's,Low,10,4.4,4,Australia
S1084,Omar,Brown,student84@university.com,Female,21,Business,45.3145,4.854809437,43.63,53.5,F,13.375,No,No,,Low,10,6,6,US
S1085,John,Johnson,student85@university.com,Female,20,CS,50.45616,5.315247895,49.46,56.82,C,14.205,No,Yes,None,Low,8,8.7,9,US
S1086,Emma,Johnson,student86@university.com,Male,18,CS,68.44002,7.333333333,74.89,79.86,C,19.965,Yes,Yes,Master's,High,4,9,9,Canada
S1087,Ali,Johnson,student87@university.com,Female,20,Engineering,56.52072,6.701754386,65.39,68.76,B,17.19,No,Yes,PhD,Low,10,4.3,4,Canada
S1088,Maria,Jones,student88@university.com,Female,21,Engineering,43.53382,4.574158326,46.12,50.27,C,12.5675,No,No,PhD,Low,2,8.2,8,Japan
S1089,Sara,Brown,student89@university.com,Female,23,Mathematics,82.95126,7.235053235,84.49,88.34,F,22.085,Yes,Yes,Bachelor's,High,8,6.4,6,Japan
S1090,Liam,Johnson,student90@university.com,Female,20,Mathematics,57.80544,6.639175258,62.39,70.84,C,17.71,No,Yes,PhD,Low,10,7.1,7,Japan
S1091,Maria,Williams,student91@university.com,Female,22,Business,63.52223,5.988149499,64.43,65.69,B,16.4225,No,Yes,Bachelor's,Low,5,6.5,7,Australia
S1092,Sara,Davis,student92@university.com,Female,24,Engineering,79.93944,7.218197136,78.58,85.68,D,21.42,Yes,Yes,PhD,High,2,8.6,9,US
S1093,Emma,Davis,student93@university.com,Female,22,Engineering,58.35352,6.15046492,66.81,72.76,A,18.19,No,Yes,High School,Low,9,6.4,6,US
S1094,Emma,Williams,student94@university.com,Male,22,CS,69.74102,6.911908646,80.45,84.74,F,21.185,Yes,Yes,High School,High,6,4.8,5,Australia
S1095,Emma,Davis,student95@university.com,Male,23,Mathematics,42.25044,4.618049225,48.58,50.66,D,12.665,No,No,High School,Low,8,7.9,8,Australia
S1096,Sara,Jones,student96@university.com,Female,19,Engineering,46.68475,4.011923688,50.11,50.47,A,12.6175,No,No,High School,Low,2,6.6,7,US
S1097,Maria,Jones,student97@university.com,Female,24,Engineering,68.094,6.812227074,70.38,78,A,19.5,Yes,Yes,,High,5,4.6,5,Japan
S1098,Emma,Smith,student98@university.com,Female,22,CS,97.92068,8.03811841,95.23,99.11,B,24.7775,Yes,Yes,PhD,High,3,6.3,6,Australia
S1099,Ahmed,Smith,student99@university.com,Male,22,CS,61.90226,5.073365231,57.86,63.62,B,15.905,No,Yes,Master's,Low,8,7.4,7,Canada
S1100,Omar,Smith,student100@university.com,Male,19,Mathematics,69.24722,7.726354454,83.19,84.14,A,21.035,Yes,Yes,Master's,High,1,5.5,6,Japan
S1101,Sara,Davis,student101@university.com,Female,23,CS,56.08977,4.607704403,56.77,58.61,F,14.6525,No,Yes,Master's,Low,9,8.6,9,Canada
S1102,Sara,Jones,student102@university.com,Male,24,Engineering,55.67742,5.49706622,62.19,65.58,F,16.395,No,Yes,High School,Low,6,8.2,8,Canada
S1103,Maria,Jones,student103@university.com,Female,22,CS,45.3299,4.75308642,44.81,53.9,D,13.475,No,No,,Low,1,6.8,7,Canada
S1104,Sara,Jones,student104@university.com,Female,21,Business,86.23468,7.553413655,89.2,94.04,A,23.51,Yes,Yes,PhD,High,3,4.3,4,Australia
S1105,Sara,Williams,student105@university.com,Female,23,CS,53.00568,5.313868613,58.31,65.52,A,16.38,No,Yes,,Low,8,6.9,7,Japan
S1106,Emma,Jones,student106@university.com,Female,24,Business,58.56704,5.847908745,57.86,61.52,D,15.38,No,Yes,Bachelor's,Low,8,6.1,6,US
S1107,Maria,Williams,student107@university.com,Female,22,CS,79.69413,7.234949833,82.83,86.53,F,21.6325,Yes,Yes,High School,High,3,7.6,8,France
S1108,Emma,Smith,student108@university.com,Female,22,Business,48.09594,5.417344173,54.78,59.97,A,14.9925,No,Yes,None,Low,10,5.3,5,Japan
S1109,Omar,Smith,student109@university.com,Female,19,Business,54.01071,5.581458146,56.61,62.01,B,15.5025,No,Yes,None,Low,8,7,7,Japan
S1110,Liam,Davis,student110@university.com,Male,24,CS,46.6271,4.861674009,51.11,55.18,F,13.795,No,Yes,None,Low,6,6.8,7,Canada
S1111,Omar,Smith,student111@university.com,Female,21,Engineering,92.34974,8.453057709,93.68,98.14,B,24.535,Yes,Yes,PhD,High,7,6.6,7,US
S1112,Liam,Davis,student112@university.com,Male,23,CS,54.39536,5.067424858,53.49,62.38,B,15.595,No,Yes,Bachelor's,Low,2,4.6,5,France
S1113,Emma,Johnson,student113@university.com,Female,20,CS,81.12114,7.95059761,92.53,99.78,C,24.945,Yes,Yes,High School,High,1,6.4,6,Australia
S1114,Omar,Johnson,student114@university.com,Female,18,Business,54.28163,5.127288579,53.81,58.81,C,14.7025,No,Yes,,Low,1,6.8,7,Japan
S1115,Maria,Brown,student115@university.com,Male,21,Engineering,50.46867,4.760261194,50.38,51.03,B,12.7575,No,No,,Low,3,8.6,9,Australia
S1116,Ali,Davis,student116@university.com,Male,20,CS,82.64816,8.40248227,90.86,94.78,D,23.695,Yes,Yes,Master's,High,7,6.3,6,Australia
S1117,Emma,Brown,student117@university.com,Female,21,CS,71.89,6.7927773,73.91,79,B,19.75,Yes,Yes,High School,High,9,7.2,7,Canada
S1118,Liam,Brown,student118@university.com,Male,24,CS,62.29954,5.687710438,62.97,67.57,B,16.8925,No,Yes,High School,Low,2,6.8,7,Japan
S1119,Ahmed,Johnson,student119@university.com,Female,20,Business,60.99002,6.910502283,69.89,75.67,A,18.9175,Yes,Yes,None,High,6,5,5,Canada
S1120,Liam,Davis,student120@university.com,Female,24,CS,59.63584,5.669064748,55.78,63.04,B,15.76,No,Yes,,Low,8,4.9,5,Australia
S1121,Ahmed,Johnson,student121@university.com,Male,20,Mathematics,78.96084,7.653558052,76.49,81.74,C,20.435,Yes,Yes,None,High,9,7.7,8,Japan
S1122,Sara,Brown,student122@university.com,Male,21,Mathematics,67.8888,6.221709007,71.43,80.82,B,20.205,Yes,Yes,,High,10,6.6,7,Japan
S1123,Omar,Davis,student123@university.com,Male,19,CS,44.88231,4.696521739,49,54.01,D,13.5025,No,No,PhD,Low,3,8.5,9,Japan
S1124,Ahmed,Brown,student124@university.com,Male,21,CS,94.5747,8.853568119,86.34,95.53,D,23.8825,Yes,Yes,PhD,High,5,8.5,9,Japan
S1125,Liam,Jones,student125@university.com,Female,24,Business,65.80003,7.252234359,63.97,73.03,C,18.2575,No,Yes,Bachelor's,Low,5,5.5,6,France
S1126,Sara,Davis,student126@university.com,Male,21,CS,53.24616,5.422867514,58.42,59.76,F,14.94,No,Yes,,Low,8,4.5,5,Japan
S1127,Ali,Davis,student127@university.com,Male,20,CS,64.65093,6.390029326,58.35,65.37,A,16.3425,No,Yes,Bachelor's,Low,1,5.7,6,Japan
S1128,Maria,Brown,student128@university.com,Male,18,CS,93.12338,9.041666667,85.1,93.31,D,23.3275,Yes,Yes,PhD,High,3,4.3,4,US
S1129,Maria,Jones,student129@university.com,Male,20,Engineering,64.04216,6.688588008,67.6,69.16,A,17.29,No,Yes,Master's,Low,6,7.9,8,US
S1130,Maria,Williams,student130@university.com,Male,22,Business,73.7264,7.02970297,73.05,78.1,A,19.525,Yes,Yes,High School,High,6,4.7,5,France
S1131,Ahmed,Johnson,student131@university.com,Female,21,CS,96.01668,8.796747967,91.92,97.38,A,24.345,Yes,Yes,PhD,High,4,8.3,8,US
S1132,Ali,Brown,student132@university.com,Female,23,CS,73.75287,6.975506757,78.44,82.59,D,20.6475,Yes,Yes,,High,5,6.1,6,Japan
S1133,Ahmed,Davis,student133@university.com,Male,21,Mathematics,74.23794,6.571764706,75.15,83.79,D,20.9475,Yes,Yes,Master's,High,10,5.4,5,France
S1134,Omar,Johnson,student134@university.com,Male,19,Business,53.62737,5.071486596,57.51,62.43,A,15.6075,No,Yes,None,Low,3,6.5,7,US
S1135,Ahmed,Johnson,student135@university.com,Female,24,Engineering,76.65379,6.651515152,78.35,83.41,A,20.8525,Yes,Yes,Master's,High,4,7,7,Japan
S1136,Ali,Johnson,student136@university.com,Male,23,Business,68.22651,6.611954459,68.04,69.69,F,17.4225,No,Yes,PhD,Low,10,7.5,8,France
S1137,Ali,Williams,student137@university.com,Female,20,Engineering,88.2882,7.529550827,88.52,95.55,C,23.8875,Yes,Yes,,High,10,5.7,6,France
S1138,Omar,Smith,student138@university.com,Female,19,Business,56.02816,4.860585198,55.16,56.48,A,14.12,No,Yes,,Low,1,8.9,9,Japan
S1139,Ali,Brown,student139@university.com,Male,21,CS,59.1376,5.406223717,61.2,64.28,D,16.07,No,Yes,,Low,6,6.1,6,Japan
S1140,Liam,Smith,student140@university.com,Female,20,CS,44.3989,4.634782609,48.27,53.3,D,13.325,No,No,Bachelor's,Low,5,8.2,8,France
S1141,Ali,Smith,student141@university.com,Male,20,Business,68.6357,6.089065256,62.49,69.05,B,17.2625,No,Yes,,Low,5,4.2,4,Australia
S1142,Maria,Smith,student142@university.com,Male,22,Engineering,46.45278,5.489483748,56.31,57.42,A,14.355,No,Yes,,Low,4,7.9,8,Japan
S1143,Liam,Johnson,student143@university.com,Female,22,Mathematics,82.5727,7.707602339,89.95,92.26,B,23.065,Yes,Yes,PhD,High,9,6.8,7,Japan
S1144,Liam,Jones,student144@university.com,Female,18,CS,95.38375,9.003741815,88.79,96.25,D,24.0625,Yes,Yes,Bachelor's,High,9,7.2,7,France
S1145,Omar,Johnson,student145@university.com,Male,22,Mathematics,79.96426,7.347711268,76.79,83.47,F,20.8675,Yes,Yes,None,High,5,5.9,6,France
S1146,John,Johnson,student146@university.com,Female,24,Mathematics,48.65994,5.43546798,47.65,55.17,F,13.7925,No,Yes,Bachelor's,Low,7,6.7,7,Japan
S1147,John,Davis,student147@university.com,Male,23,CS,62.58564,6.328301887,62.82,67.08,A,16.77,No,Yes,Bachelor's,Low,3,8.7,9,Australia
S1148,Ali,Davis,student148@university.com,Female,20,Business,97.7289,8.969863014,98.14,98.22,D,24.555,Yes,Yes,,High,1,5.9,6,US
S1149,Liam,Smith,student149@university.com,Female,22,Engineering,45.68328,5.160762943,46.84,56.82,C,14.205,No,Yes,PhD,Low,1,4.5,5,US
S1150,John,Johnson,student150@university.com,Male,18,Mathematics,64.74624,6.679828326,77.45,77.82,C,19.455,Yes,Yes,High School,High,3,7.6,8,Australia
S1151,John,Smith,student151@university.com,Male,21,Engineering,58.0437,5.207852194,66.58,67.65,A,16.9125,No,Yes,PhD,Low,3,6.5,7,Australia
S1152,Ali,Davis,student152@university.com,Male,23,Business,95.06196,8.240725474,96,99.96,C,24.99,Yes,Yes,PhD,High,5,6.1,6,Japan
S1153,John,Jones,student153@university.com,Female,22,Engineering,59.83537,5.346921797,63.28,64.27,D,16.0675,No,Yes,None,Low,8,7.9,8,Japan
S1154,Ahmed,Brown,student154@university.com,Male,20,CS,48.04163,4.447368421,46.82,52.39,A,13.0975,No,No,None,Low,6,6.8,7,Japan
S1155,Sara,Smith,student155@university.com,Male,21,CS,81.19494,7.511915269,80,85.11,F,21.2775,Yes,Yes,None,High,8,7.2,7,US
S1156,Omar,Jones,student156@university.com,Female,24,Engineering,63.28836,5.464579901,59.49,66.34,D,16.585,No,Yes,High School,Low,7,8.6,9,Japan
S1157,Sara,Brown,student157@university.com,Female,20,Business,81.88544,8.263210369,75.57,82.88,B,20.72,Yes,Yes,Bachelor's,High,1,4.3,4,US
S1158,Ali,Williams,student158@university.com,Male,21,Engineering,52.24758,4.909333333,47.83,55.23,F,13.8075,No,Yes,High School,Low,10,5.3,5,US
S1159,Maria,Smith,student159@university.com,Male,24,Engineering,65.0321,6.685689201,67.38,76.15,D,19.0375,Yes,Yes,Bachelor's,High,8,8.5,9,Australia
S1160,Omar,Smith,student160@university.com,Male,24,CS,56.58948,6.068843778,66.37,68.76,A,17.19,No,Yes,High School,Low,1,8,8,US
S1161,Ali,Williams,student161@university.com,Male,23,Engineering,71.8454,7.467444121,74.59,76.84,C,19.21,Yes,Yes,,High,5,4.9,5,Japan
S1162,Liam,Williams,student162@university.com,Female,20,CS,78.86217,8.734213007,91.63,92.67,D,23.1675,Yes,Yes,PhD,High,3,4.8,5,Japan
S1163,Maria,Smith,student163@university.com,Female,22,Business,97.45632,8.46695279,94.59,98.64,A,24.66,Yes,Yes,Bachelor's,High,7,8.1,8,US
S1164,Sara,Williams,student164@university.com,Male,22,Mathematics,72.67014,8.485963214,85.33,87.66,F,21.915,Yes,Yes,Bachelor's,High,5,6.8,7,Japan
S1165,Ali,Johnson,student165@university.com,Male,18,Engineering,85.15976,8.279287723,86.12,88.34,D,22.085,Yes,Yes,Bachelor's,High,2,8.3,8,Australia
S1166,Liam,Brown,student166@university.com,Male,21,CS,64.60025,6.584840655,73.06,76.45,C,19.1125,Yes,Yes,Master's,High,1,8.6,9,Australia
S1167,Omar,Brown,student167@university.com,Female,18,CS,47.24307,4.754766031,46.54,54.87,A,13.7175,No,No,None,Low,10,4.3,4,Japan
S1168,Omar,Brown,student168@university.com,Male,19,Engineering,68.6804,6.957429048,73.98,83.35,A,20.8375,Yes,Yes,Master's,High,6,8.8,9,Canada
S1169,Emma,Johnson,student169@university.com,Male,22,Engineering,46.83024,4.646963563,56.36,57.39,D,14.3475,No,Yes,,Low,6,7.6,8,Japan
S1170,Liam,Williams,student170@university.com,Female,21,Business,59.53968,5.600719424,60.43,62.28,D,15.57,No,Yes,,Low,8,8.2,8,Japan
S1171,Ahmed,Jones,student171@university.com,Female,23,CS,84.5262,7.297435897,79.84,85.38,C,21.345,Yes,Yes,PhD,High,9,7.2,7,US
S1172,John,Williams,student172@university.com,Male,18,Business,74.48215,6.523622047,82.22,82.85,F,20.7125,Yes,Yes,Bachelor's,High,2,5.5,6,Japan
S1173,Maria,Smith,student173@university.com,Male,23,Engineering,57.04496,6.073937153,55.84,65.72,B,16.43,No,Yes,,Low,5,7,7,Australia
S1174,Liam,Davis,student174@university.com,Female,23,CS,79.2084,8.406072106,87.29,88.6,C,22.15,Yes,Yes,Bachelor's,High,5,6.6,7,Canada
S1175,Emma,Brown,student175@university.com,Male,23,Engineering,88.82452,8.373920553,89.8,96.97,A,24.2425,Yes,Yes,Master's,High,10,8.7,9,France
